entry_date,exit_date,direction,qty,entry_price,exit_price,stop_loss,take_profit,pnl,status,confluence,factors
2024-05-03 12:00:00+00:00,2024-05-10 12:00:00+00:00,LONG,8.6298,22.0266,22.5208,21.7273,22.5253,4.27,CLOSED,3,EMA_trend|RSI_filter|LIQ_sweep
2024-05-06 16:00:00+00:00,2024-05-15 12:00:00+00:00,LONG,8.3899,22.2648,22.7653,21.9617,22.7698,4.2,CLOSED,3,EMA_trend|RSI_filter|LIQ_sweep
2024-05-08 12:00:00+00:00,2024-05-10 12:00:00+00:00,LONG,9.4902,22.1209,22.5629,21.853,22.5675,4.19,CLOSED,5,EMA_trend|RSI_filter|MACD_confirm|FVG_zone|LIQ_sweep
2024-05-09 16:00:00+00:00,2024-05-15 16:00:00+00:00,LONG,9.4293,22.358,22.8028,22.0883,22.8074,4.19,CLOSED,4,EMA_trend|RSI_filter|MACD_confirm|LIQ_sweep
2024-05-13 12:00:00+00:00,2024-05-17 12:00:00+00:00,LONG,10.0381,22.4618,22.9004,22.1958,22.905,4.4,CLOSED,5,EMA_trend|RSI_filter|MACD_confirm|FVG_zone|LIQ_sweep
2024-05-14 16:00:00+00:00,2024-05-17 12:00:00+00:00,LONG,10.0737,22.4923,22.9293,22.2273,22.9339,4.4,CLOSED,5,EMA_trend|RSI_filter|FVG_zone|Order_Block|LIQ_sweep
2024-05-16 12:00:00+00:00,2024-05-20 16:00:00+00:00,LONG,10.6316,22.7921,23.2257,22.5292,23.2303,4.61,CLOSED,4,EMA_trend|RSI_filter|MACD_confirm|LIQ_sweep
2024-05-17 16:00:00+00:00,2024-05-22 12:00:00+00:00,LONG,10.7972,23.0834,22.8077,22.8123,23.5353,-2.98,CLOSED,3,EMA_trend|MACD_confirm|LIQ_sweep
2024-05-21 16:00:00+00:00,2024-05-22 12:00:00+00:00,LONG,11.6581,23.1426,22.881,22.8856,23.571,-3.05,CLOSED,3,EMA_trend|RSI_filter|LIQ_sweep
2024-05-23 12:00:00+00:00,2024-05-23 12:00:00+00:00,LONG,10.6683,22.6627,22.3858,22.3903,23.1167,-2.95,CLOSED,5,EMA_trend|RSI_filter|FVG_zone|Order_Block|LIQ_sweep
2024-05-24 16:00:00+00:00,2024-06-07 12:00:00+00:00,LONG,10.1368,22.3533,22.0665,22.071,22.8238,-2.91,CLOSED,4,EMA_trend|RSI_filter|Order_Block|LIQ_sweep
2024-05-30 12:00:00+00:00,2024-06-04 12:00:00+00:00,LONG,11.1194,22.4119,22.1501,22.1546,22.8409,-2.91,CLOSED,3,EMA_trend|RSI_filter|Order_Block
2024-05-31 16:00:00+00:00,2024-06-07 12:00:00+00:00,LONG,11.2509,22.3415,22.0827,22.0872,22.7655,-2.91,CLOSED,3,EMA_trend|RSI_filter|Order_Block
2024-06-04 16:00:00+00:00,2024-06-06 12:00:00+00:00,LONG,10.7902,22.2564,22.6871,21.9952,22.6917,4.65,CLOSED,5,EMA_trend|RSI_filter|RSI_divergence|FVG_zone|LIQ_sweep
2024-06-06 12:00:00+00:00,2024-06-07 12:00:00+00:00,LONG,11.2191,22.6177,22.3621,22.3665,23.0364,-2.87,CLOSED,5,EMA_trend|RSI_filter|MACD_confirm|FVG_zone|LIQ_sweep
2024-06-11 12:00:00+00:00,2024-06-20 12:00:00+00:00,SHORT,9.4215,22.0816,22.3787,22.3743,21.5938,-2.8,CLOSED,4,EMA_trend|RSI_filter|MACD_confirm|LIQ_sweep
2024-06-12 16:00:00+00:00,2024-06-20 12:00:00+00:00,SHORT,9.8374,22.2327,22.5175,22.513,21.7655,-2.8,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2024-06-14 12:00:00+00:00,2024-06-20 12:00:00+00:00,SHORT,9.7904,22.2057,22.4919,22.4874,21.7363,-2.8,CLOSED,3,EMA_trend|RSI_filter|MACD_confirm
2024-06-17 16:00:00+00:00,2024-06-20 12:00:00+00:00,SHORT,9.6868,22.0812,22.3703,22.3658,21.6067,-2.8,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2024-06-25 12:00:00+00:00,2024-07-03 12:00:00+00:00,SHORT,10.4098,22.1422,22.3954,22.3909,21.7276,-2.64,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2024-06-26 16:00:00+00:00,2024-06-27 12:00:00+00:00,SHORT,10.6071,21.9608,22.2094,22.205,21.5539,-2.64,CLOSED,3,EMA_trend|RSI_filter|MACD_confirm
2024-06-28 16:00:00+00:00,2024-07-03 12:00:00+00:00,SHORT,11.0108,22.2212,22.4573,22.4528,21.8352,-2.6,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2024-07-02 12:00:00+00:00,2024-07-03 12:00:00+00:00,SHORT,11.8873,22.1999,22.4189,22.4144,21.8424,-2.6,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2024-07-10 16:00:00+00:00,2024-07-15 12:00:00+00:00,LONG,9.8461,22.749,23.1561,22.502,23.1608,4.01,CLOSED,4,EMA_trend|RSI_filter|MACD_confirm|FVG_zone
2024-07-17 16:00:00+00:00,2024-07-19 12:00:00+00:00,LONG,8.6166,23.4738,23.1798,23.1845,23.9559,-2.53,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2024-07-19 12:00:00+00:00,2024-07-25 12:00:00+00:00,LONG,9.1002,22.9619,22.6835,22.688,23.4184,-2.53,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2024-07-31 16:00:00+00:00,2024-08-05 12:00:00+00:00,LONG,8.7788,23.2344,22.9545,22.9591,23.6932,-2.46,CLOSED,4,EMA_trend|RSI_filter|MACD_confirm|Order_Block
2024-08-02 12:00:00+00:00,2024-08-02 12:00:00+00:00,LONG,8.6559,23.6139,23.3301,23.3347,24.0792,-2.46,CLOSED,4,EMA_trend|RSI_filter|MACD_confirm|FVG_zone
2024-08-09 16:00:00+00:00,2024-08-16 12:00:00+00:00,LONG,4.9308,23.2884,23.8011,22.978,23.8058,2.53,CLOSED,4,EMA_trend|RSI_filter|MACD_confirm|FVG_zone
2024-08-13 12:00:00+00:00,2024-08-14 12:00:00+00:00,LONG,5.0367,23.6334,23.3248,23.3295,24.14,-1.55,CLOSED,3,EMA_trend|RSI_filter|MACD_confirm
2024-08-15 16:00:00+00:00,2024-08-20 12:00:00+00:00,LONG,3.8763,23.5239,23.9947,23.2386,23.9995,1.82,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2024-08-19 12:00:00+00:00,2024-09-12 12:00:00+00:00,LONG,5.8724,23.8598,24.3469,23.5647,24.3518,2.86,CLOSED,3,EMA_trend|RSI_filter|MACD_confirm
2024-09-12 16:00:00+00:00,2024-09-18 16:00:00+00:00,LONG,9.9261,24.3508,24.7535,24.1062,24.7585,4.0,CLOSED,3,EMA_trend|RSI_filter|MACD_confirm
2024-09-19 16:00:00+00:00,2024-09-24 12:00:00+00:00,LONG,8.7376,24.7814,25.2509,24.4967,25.2559,4.1,CLOSED,4,EMA_trend|RSI_filter|MACD_confirm|Order_Block
2024-09-27 16:00:00+00:00,2024-09-30 12:00:00+00:00,LONG,9.7574,25.3674,25.1011,25.1061,25.8028,-2.6,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2024-10-01 16:00:00+00:00,2024-10-02 12:00:00+00:00,LONG,8.856,25.5181,25.2296,25.2346,25.9905,-2.55,CLOSED,3,EMA_trend|RSI_filter|Order_Block
2024-10-03 12:00:00+00:00,2024-10-08 12:00:00+00:00,LONG,9.0378,25.3543,25.0758,25.0808,25.8102,-2.52,CLOSED,3,EMA_trend|RSI_filter|Order_Block
2024-10-11 16:00:00+00:00,2024-10-18 12:00:00+00:00,LONG,9.0515,25.4377,25.8808,25.1688,25.886,4.01,CLOSED,3,EMA_trend|RSI_filter|Order_Block
2024-10-15 12:00:00+00:00,2024-10-18 12:00:00+00:00,LONG,9.9639,25.3656,25.7676,25.1213,25.7728,4.01,CLOSED,3,EMA_trend|RSI_filter|FVG_zone
2024-10-16 16:00:00+00:00,2024-10-18 12:00:00+00:00,LONG,9.8439,25.533,25.9399,25.2857,25.9451,4.01,CLOSED,4,EMA_trend|RSI_filter|MACD_confirm|Order_Block
2024-10-18 12:00:00+00:00,2024-10-29 12:00:00+00:00,LONG,10.3106,25.8958,26.284,25.6597,26.2892,4.0,CLOSED,3,EMA_trend|RSI_filter|MACD_confirm
2024-10-28 12:00:00+00:00,2024-10-30 16:00:00+00:00,LONG,10.598,26.2097,26.6155,25.963,26.6208,4.3,CLOSED,3,EMA_trend|RSI_filter|Order_Block
